12100
862	 	64
7290	'	2
4587	+	2
3971	-	33
4847	.	6
8180	/	2
3570	0	5
2711	00	23
5549	01	3
9626	03	1
7737	05	1
2686	08	1
2566	09	4
291	1	235
364	10	282
10568	10.00	1
5387	100	10
1215	100.8	1
7301	1004	1
3647	101	6
1985	102	3
1275	103	6
1021	1039	9
4626	104	6
3658	104.2	1
3179	1045family	1
7387	1048	1
3427	105	2
6340	1054	1
5546	1057	1
2736	1058	1
5960	1068	1
2564	107	3
663	11	88
7683	110	1
5670	11x	2
395	12	146
7141	12promax	1
0	13	53
3355	14	27
9246	142	1
10585	145	1
10576	147	1
671	15	76
9970	150	1
677	1500	1
771	16	28
386	17	44
7478	177	1
1057	178	1
1058	179	2
142	18	66
9655	186	2
566	19	45
8934	19.00	2
5493	1922	1
7765	1962	1
10366	1981	1
7621	1984	2
4326	1985	1
5738	1986	2
7824	1988	1
6938	1992	2
8411	1996	1
8797	1998	1
931	1999	6
127	2	171
772	20	112
3466	200	3
1414	2000	14
3854	2001	4
2343	2002	2
7686	2003	2
52	2004	1
4079	2005	1
1524	2006	6
1670	2007	3
4821	2008	8
1584	2009	15
3280	2010	3
321	2011	16
678	2012	8
2114	2013	6
617	2014	20
1237	2015	11
855	2016	17
409	2017	14
1160	2018	27
44	2019	62
150	2020	90
213	2021	144
10764	2021MSI	1
2269	2022	3
1092	21	42
10940	2100W	1
5030	2160	1
128	22	36
342	23	35
2779	24	29
658	25	43
245	26	33
748	27	21
10105	275	1
509	28	19
1071	29	25
7042	296	1
246	3	200
909	30	108
3281	3000	1
2989	303	1
2674	31	6
8438	316	1
10001	318	1
4987	32	4
6470	320	1
5655	325	1
758	35	7
3341	36	2
10771	37	2
3972	38	6
3035	39	1
3610	3D	4
138	4	198
773	40	29
6771	40%	1
4830	400	1
3190	41	1
4990	42	1
10156	44	1
343	45	11
11047	46	1
2337	49	1
7169	4S店	1
175	5	363
6244	5.29	2
3598	5.31	1
740	50	30
6382	500	1
6680	5000	1
1928	51	1
5904	53	2
2279	54	1
4881	55	4
5496	57	1
7005	58	1
9048	586	1
1655	59	3
143	6	196
575	60	9
5347	60%	2
7775	65	1
567	7	206
691	70	14
9952	72	1
2204	75	6
5040	76	1
7981	77	1
3109	792	3
154	8	197
9620	8.05	1
2128	80	14
3158	81	1
6204	85	1
7157	87	1
6471	88	2
3110	89	1
6568	89.9	1
220	9	218
8986	9.01	1
711	90	68
3297	91	3
4139	93	4
5286	946	2
3516	947	6
2240	95	1
4287	958	2
8026	959	1
9761	96.6	1
1708	962	3
4603	968	2
2598	97	1
1234	97.6	1
7742	970	1
2459	98	1
7059	986	1
2986	988A	1
5135	99	1
6331	990	5
743	:	102
5487	?	1
3695	A	4
985	AG	2
8149	AGP	1
8047	AH	1
7738	AI	1
1687	AM747	1
9261	AMT	1
5708	APP	1
5500	AUTO	1
10751	Air	1
9763	Aliz	1
5739	Amour	1
7291	Assaut	1
5208	B	13
7941	B2ER	1
2258	BANG	1
6223	BBC	1
1458	BEYOND	1
8242	BIGBIGWORLD	1
6474	BTV	1
2715	Beyond	1
1614	Bieber	2
3266	Billboard	1
5629	Blonde	1
7292	By	1
3170	C	3
6608	C4	1
3748	CA1301	1
3108	CA1801	1
8700	CBA	3
7776	CBD	1
11048	CCTV	1
8197	CCTV1	14
9162	CCTV10	2
3079	CCTV11	6
8436	CCTV12	1
5102	CCTV13	2
2760	CCTV15	1
881	CCTV2	2
4627	CCTV3	4
8181	CCTV4	2
3973	CCTV5	1
8977	CCTV7	4
9348	CCTV8	2
6830	CD	1
2636	CEO	1
4414	CG	5
10834	CHINA	1
2453	CNR	7
7356	COM	1
1789	CPU	1
9598	Ce	1
10835	Chinese	1
6635	CityFM	1
9764	Concert	1
3444	Corner	2
4276	D11	1
4083	D1183	1
5600	D15	1
841	D21	1
6030	D211	1
2237	D22	1
4266	D3	1
5993	D311	1
2861	D35	1
5641	D51	1
6539	D6	1
7805	DC	1
5522	DJ	1
8220	DV	1
6479	DYG	1
9587	Doubt	1
9765	En	1
1315	FM	14
5614	FM100	1
7221	FM100.7	1
2099	FM101	3
8029	FM101.8	1
11027	FM101.9	1
589	FM102	7
1631	FM102.5	2
1206	FM103	2
3699	FM103.7	1
751	FM103.9	7
2038	FM104	4
5634	FM104.1	2
2290	FM105	7
2629	FM1058	1
1574	FM106	3
3549	FM106.1	3
6844	FM106.6	1
2916	FM106.7	1
2546	FM107	4
4346	FM87	2
3026	FM87.6	4
982	FM88	12
7729	FM88.7	1
3053	FM89	5
7068	FM89.5	1
4123	FM90	3
7083	FM90.0	1
8983	FM90.5	1
2542	FM90.7	1
4374	FM900	1
3706	FM91	4
3307	FM91.5	1
1793	FM91.8	1
4897	FM92	4
2462	FM92.3	1
1078	FM92.4	1
2588	FM93	5
4634	FM93.4	2
3517	FM94	9
10523	FM94.0	1
5553	FM94.8	3
10675	FM940	1
2006	FM95	5
3605	FM950	2
4179	FM96	3
4515	FM96.5	1
3064	FM96.6	1
4325	FM96.7	1
875	FM969	1
1800	FM97	7
5688	FM97.2	2
1546	FM98	3
5987	FM99	3
4104	FM99.6	1
2411	FMF88	1
6639	FOLD	1
4689	Famille	1
11119	Furious7	1
2840	G	4
8969	G11	1
7836	G1131	1
4343	G1724	1
6884	G201	1
4920	G211	1
4408	G2321	1
8730	G31	1
2203	G51	1
2841	Goldman	2
2922	Hey	1
579	I	7
10204	IMISSYOU	1
4848	IN	1
5438	INTO1	1
8970	IPHONE	3
7509	J	1
7131	JUN	1
7613	JW	1
9588	Jay	1
2923	Jude	1
415	July	2
7155	K	1
6978	K1132	1
5551	K211	1
3871	KPL	4
6375	KTV	2
3259	LIVE	2
10836	Learn	1
4976	Let	2
7998	M6	1
7786	MBA	2
5934	MC	1
6640	MIX	1
1956	MMTV	1
4069	MUSI	1
10805	MUSIC	1
2848	MV	20
10762	MYFM	1
5512	MatePad10.8	1
5935	Merci	1
6749	Music40	1
6192	NANA	1
1604	NBA	14
9262	NV	1
7293	Night	1
5936	Non	1
5502	Note	2
6592	P	1
10837	PLUS	1
6310	PM2.5	2
10690	PPT	1
3445	Private	2
3681	Pro	6
3005	QGhappy	1
3099	QQ	8
6484	RADIO	1
3766	REVISIT	6
2326	Re	1
9589	Reasonable	1
6286	Redmibook	1
3100	S	1
5678	S23	1
4849	STAY	1
7294	Sexion	1
5937	Solaar	1
922	T11	1
5845	T120	1
8871	T181	1
7804	T251	1
10972	TAXI	1
5245	TB8301	1
9779	TES	1
6670	TFboys	1
4850	TOUCH	1
3758	TV	4
7320	TVB	1
10249	TY	1
8089	U21	1
10079	U盘	1
10368	V	1
1253	VS	3
6079	Vivian	1
5800	W	2
10694	WBS	1
7154	WE	1
6928	WINKY	1
7295	Wati	1
1401	Wuha	1
3474	X	2
8261	XPS	1
858	XYG	1
10611	YESORNO	1
9590	Z	1
2631	acp	1
1327	attention	1
2255	baby	2
9834	baller	1
5173	blackpink	1
557	blueming	1
7534	car	1
10287	cf	1
6284	corner	1
1729	cut	5
7296	d	1
9135	disco	1
9766	e	1
3927	eStarPro	1
9599	en	1
1435	fm	2
7762	gear	1
4977	go	2
2621	hawk	1
3420	hero	1
4417	high	1
1762	hold	1
3531	iPad	3
7535	in	1
4978	it	2
558	iu	2
1615	justice	1
2256	kiss	1
10179	lanterns	1
1328	lisa	1
10624	love	1
9513	lover	1
4567	low	1
5528	man	1
2257	me	1
5725	more	1
4036	morning	1
6285	music	2
6308	mv	2
2842	n	2
2622	nelson	1
1763	on	1
2623	out	1
11120	payback	1
4000	pig	1
6246	pk	2
5151	pp	1
10945	priest	1
9600	qui	1
1484	rap	4
2843	ration	2
8011	remember	1
5529	running	1
9601	s	1
27	s686	1
4037	show	1
2624	sold	1
10716	soul	1
4568	speak	1
863	stay	1
10625	story	1
5726	than	1
7736	the9	1
5727	this	1
7763	top	1
9602	train	1
4833	uitra	1
5405	up	2
9603	va	1
7312	viva	1
7006	vivo	1
4038	weekend	1
864	with	2
865	you	2
3866	young	1
10717	your	1
9823	~	1
2637	·	5
2844	é	3
6681	“	2
6682	”	3
4457	℃	4
960	、	11
129	。	551
1197	《	33
1198	》	33
793	一	86
9506	一一	1
21	一下	1747
872	一下下	5
1723	一下张	7
6996	一不小心	1
53	一个	932
6744	一个半	2
2857	一个月	5
7936	一中	1
